ID,TUMOR,DAY,GROUP,STO2,HB,A,B,STO2_SD,HB_SD,A_SD,B_SD
PS023,P3,1,MTD,0.78332517,5.326472838,8.335346161,0.480255545,0.119228115,0.123927068,0.039367977,0.251213566
PS023,P3,2,MTD,0.738049568,3.666947386,9.384342498,0.341231844,0.056672802,1.111722615,0.069008885,0.201563298
PS023,P3,3,MTD,0.770050715,4.343344513,7.721409351,0.911272763,0.065352492,0.871155847,0.112087916,0.194758021
PS023,P3,4,MTD,0.734745553,4.680159875,6.200859383,0.69831634,0.081314756,0.717769964,0.055675946,0.158515891
PS026,P3,1,MTD,0.675661551,4.864045884,7.582158688,0.776371398,0.060352503,0.560207714,0.011011226,0.115047455
PS026,P4,1,MTD,0.751504998,4.203208331,8.534493105,0.824997472,0.087435078,0.807708865,0.15358437,0.168301831
PS027,P1,1,MTD,0.674297324,4.223808637,8.344958246,0.797360206,0.040277014,0.485941346,0.065132557,0.122586381
PS027,P5,1,MTD,0.594673761,3.157582996,7.469572902,0.79107362,0.101187162,1.008795619,0.042718492,0.14348901
PS027,P5,2,MTD,0.783975047,4.28338407,7.275020179,0.539059513,0.066034402,1.158495265,0.035547546,0.109030255
PS027,P5,3,MTD,0.736178237,5.131628992,5.714498981,0.62831886,0.112632067,0.945283219,0.079238254,0.082828615
PS027,P5,4,MTD,0.800696922,3.867556079,5.567076152,0.622539347,0.10101266,0.791753788,0.124124722,0.221927385
PS027,P5,5,MTD,0.736705206,4.65158036,8.363511394,1.049495126,0.054490784,0.421848135,0.124983513,0.106195551
PS027,P5,6,MTD,0.754704823,3.858616331,5.572781742,0.494764492,0.078183985,0.739666565,0.128499921,0.127043708
PS029,P1,1,MTD,0.517303877,4.958512148,7.216277887,0.500783707,0.026793387,0.46228996,0.032821329,0.127719609
PS029,P3,1,MTD,0.403484865,5.340313759,9.999989,0.092894867,0,0,0,0
PS029,P1,2,MTD,0.607405435,4.910096137,8.510109189,0.463442538,0.07611757,0.768601802,0.079205706,0.17348667
PS029,P3,2,MTD,0.95935611,2.78503266,9.999989152,0.581428116,0.049224337,0.111429864,8.48E-07,0.167160438
PS029,P1,3,MTD,0.719565018,3.702093823,5.250024084,0.607202816,0.108448046,0.666895501,0.089360209,0.200497934
PS029,P3,3,MTD,0.779707015,2.931167974,9.459964549,0.508694982,0.075744556,0.477087422,0.054975793,0.096930083
PS029,P1,4,MTD,,,,,,,,
PS029,P3,4,MTD,0.944917224,5.119469168,7.475399873,0.686952082,0.088710178,0.111058337,0.025174509,0.122717627
PS030,P3,1,MTD,0.932302968,5.143994401,7.9642458,0.662182159,0.068121612,0.100634425,0.052102165,0.122558529
PS030,P3,2,MTD,0.721085401,4.023441812,8.044048025,0.634527942,0.067858531,0.613425613,0.125236468,0.140308915
PS030,P3,3,MTD,0.815910858,5.308313555,7.984153152,0.744835682,0.056247621,0.070150941,0.041655219,0.121960246
PS030,P3,4,MTD,0.815474831,5.142678657,7.743595116,0.723576605,0.12922152,0.155897833,0.044674671,0.091240471
PS030,P3,5,MTD,0.78110804,3.889295149,8.242830567,0.676858949,0.062682796,1.321839336,0.049417815,0.195290963
PS030,P3,6,MTD,0.87633168,4.895092534,8.007723813,0.984619794,0.05054607,0.309670588,0.034668697,0.090693264
